Date,away_team,away_team_pts,home_team,home_team_pts
"Fri, May 18, 2018",DAL,78,PHO,86
"Sat, May 19, 2018",CHI,82,IND,64
"Sun, May 20, 2018",NYL,76,CHI,80
"Sun, May 20, 2018",LVA,65,CON,101
"Sun, May 20, 2018",ATL,78,DAL,101
"Sun, May 20, 2018",LAS,77,MIN,76
"Sun, May 20, 2018",PHO,87,SEA,82
"Sun, May 20, 2018",IND,75,WAS,82
"Tue, May 22, 2018",LAS,87,IND,70
"Tue, May 22, 2018",LVA,70,WAS,75
"Wed, May 23, 2018",ATL,81,CHI,63
"Wed, May 23, 2018",DAL,68,MIN,76
"Wed, May 23, 2018",SEA,87,PHO,71
"Thu, May 24, 2018",LAS,94,CON,102
"Thu, May 24, 2018",WAS,93,IND,84
"Fri, May 25, 2018",MIN,78,NYL,72
"Fri, May 25, 2018",CHI,91,SEA,95
"Sat, May 26, 2018",DAL,78,ATL,70
"Sat, May 26, 2018",IND,77,CON,86
"Sun, May 27, 2018",PHO,72,LAS,80
"Sun, May 27, 2018",SEA,105,LVA,98
"Sun, May 27, 2018",MIN,78,WAS,90
"Tue, May 29, 2018",MIN,74,ATL,76
"Tue, May 29, 2018",DAL,89,NYL,94
"Tue, May 29, 2018",WAS,77,SEA,81
"Wed, May 30, 2018",WAS,103,PHO,95
"Thu, May 31, 2018",LVA,74,SEA,101
"Fri, Jun 1, 2018",CON,110,CHI,72
"Fri, Jun 1, 2018",WAS,73,LVA,85
"Fri, Jun 1, 2018",PHO,95,MIN,85
"Sat, Jun 2, 2018",SEA,90,DAL,94
"Sat, Jun 2, 2018",NYL,87,IND,81
"Sun, Jun 3, 2018",PHO,78,ATL,71
"Sun, Jun 3, 2018",LVA,90,CHI,95
"Sun, Jun 3, 2018",MIN,69,LAS,77
"Sun, Jun 3, 2018",CON,88,WAS,64
"Tue, Jun 5, 2018",CON,77,ATL,82
"Tue, Jun 5, 2018",PHO,80,NYL,74
"Thu, Jun 7, 2018",SEA,88,LAS,63
"Thu, Jun 7, 2018",CON,88,NYL,86
"Thu, Jun 7, 2018",MIN,88,WAS,80
"Fri, Jun 8, 2018",DAL,89,IND,83
"Fri, Jun 8, 2018",ATL,87,LVA,83
"Fri, Jun 8, 2018",CHI,79,PHO,96
"Sat, Jun 9, 2018",MIN,75,CON,89
"Sun, Jun 10, 2018",CHI,59,LAS,77
"Sun, Jun 10, 2018",IND,75,NYL,78
"Sun, Jun 10, 2018",LVA,66,PHO,72
"Sun, Jun 10, 2018",ATL,67,SEA,64
"Tue, Jun 12, 2018",PHO,75,DAL,72
"Tue, Jun 12, 2018",LVA,101,IND,92
"Tue, Jun 12, 2018",ATL,64,LAS,72
"Tue, Jun 12, 2018",CHI,85,SEA,96
"Wed, Jun 13, 2018",WAS,95,CON,91
"Wed, Jun 13, 2018",LVA,78,NYL,63
"Thu, Jun 14, 2018",IND,67,ATL,72
"Fri, Jun 15, 2018",LVA,67,DAL,77
"Fri, Jun 15, 2018",CON,92,SEA,103
"Fri, Jun 15, 2018",LAS,97,WAS,86
"Sat, Jun 16, 2018",ATL,64,IND,96
"Sat, Jun 16, 2018",NYL,71,MIN,85
"Sat, Jun 16, 2018",CON,72,PHO,89
"Sun, Jun 17, 2018",LAS,81,CHI,72
"Sun, Jun 17, 2018",PHO,92,LVA,80
"Tue, Jun 19, 2018",IND,55,LAS,74
"Tue, Jun 19, 2018",DAL,83,MIN,91
"Tue, Jun 19, 2018",ATL,72,NYL,79
"Tue, Jun 19, 2018",LVA,89,SEA,77
"Tue, Jun 19, 2018",CHI,60,WAS,88
"Fri, Jun 22, 2018",CON,70,ATL,75
"Fri, Jun 22, 2018",WAS,93,CHI,77
"Fri, Jun 22, 2018",LAS,72,DAL,101
"Fri, Jun 22, 2018",NYL,78,LVA,88
"Fri, Jun 22, 2018",MIN,83,PHO,72
"Fri, Jun 22, 2018",IND,63,SEA,72
"Sun, Jun 24, 2018",PHO,88,CHI,97
"Sun, Jun 24, 2018",SEA,97,DAL,76
"Sun, Jun 24, 2018",CON,87,IND,78
"Sun, Jun 24, 2018",NYL,54,LAS,80
"Sun, Jun 24, 2018",MIN,88,LVA,73
"Tue, Jun 26, 2018",DAL,83,LAS,87
"Tue, Jun 26, 2018",SEA,79,MIN,91
"Tue, Jun 26, 2018",PHO,83,NYL,69
"Tue, Jun 26, 2018",CON,80,WAS,92
"Wed, Jun 27, 2018",ATL,80,CHI,93
"Wed, Jun 27, 2018",IND,89,CON,101
"Wed, Jun 27, 2018",DAL,97,LVA,91
"Thu, Jun 28, 2018",LAS,72,SEA,81
"Thu, Jun 28, 2018",NYL,77,WAS,80
"Fri, Jun 29, 2018",PHO,95,IND,77
"Fri, Jun 29, 2018",LAS,78,LVA,94
"Fri, Jun 29, 2018",ATL,74,MIN,85
"Fri, Jun 29, 2018",CHI,103,NYL,99
"Sat, Jun 30, 2018",PHO,84,WAS,74
"Sun, Jul 1, 2018",NYL,97,CHI,94
"Sun, Jul 1, 2018",MIN,76,DAL,72
"Sun, Jul 1, 2018",ATL,87,IND,83
"Sun, Jul 1, 2018",LVA,71,LAS,87
"Sun, Jul 1, 2018",CON,70,SEA,84
"Tue, Jul 3, 2018",CHI,85,DAL,108
"Tue, Jul 3, 2018",CON,73,LAS,72
"Tue, Jul 3, 2018",IND,71,MIN,59
"Tue, Jul 3, 2018",SEA,77,NYL,62
"Thu, Jul 5, 2018",IND,63,DAL,90
"Thu, Jul 5, 2018",CHI,80,LVA,84
"Thu, Jul 5, 2018",LAS,72,MIN,83
"Thu, Jul 5, 2018",CON,77,PHO,84
"Thu, Jul 5, 2018",NYL,67,WAS,86
"Fri, Jul 6, 2018",SEA,95,ATL,86
"Sat, Jul 7, 2018",MIN,63,CHI,77
"Sat, Jul 7, 2018",WAS,83,LAS,74
"Sat, Jul 7, 2018",CON,90,LVA,94
"Sun, Jul 8, 2018",PHO,70,ATL,76
"Sun, Jul 8, 2018",DAL,97,NYL,87
"Sun, Jul 8, 2018",WAS,91,SEA,97
"Tue, Jul 10, 2018",LVA,98,CHI,74
"Tue, Jul 10, 2018",PHO,72,DAL,101
"Tue, Jul 10, 2018",LAS,77,SEA,75
"Wed, Jul 11, 2018",NYL,79,CON,76
"Wed, Jul 11, 2018",MIN,87,IND,65
"Wed, Jul 11, 2018",ATL,106,WAS,89
"Thu, Jul 12, 2018",DAL,92,LAS,77
"Fri, Jul 13, 2018",IND,74,ATL,98
"Fri, Jul 13, 2018",PHO,87,CON,91
"Fri, Jul 13, 2018",LVA,85,MIN,77
"Fri, Jul 13, 2018",CHI,72,WAS,88
"Sat, Jul 14, 2018",DAL,84,SEA,91
"Sun, Jul 15, 2018",WAS,77,ATL,80
"Sun, Jul 15, 2018",PHO,101,IND,82
"Sun, Jul 15, 2018",LAS,99,LVA,78
"Sun, Jul 15, 2018",CON,83,MIN,64
"Sun, Jul 15, 2018",CHI,84,NYL,107
"Tue, Jul 17, 2018",ATL,86,CON,83
"Tue, Jul 17, 2018",NYL,87,DAL,104
"Wed, Jul 18, 2018",SEA,101,CHI,83
"Wed, Jul 18, 2018",IND,65,MIN,89
"Thu, Jul 19, 2018",NYL,68,ATL,82
"Thu, Jul 19, 2018",WAS,81,DAL,90
"Thu, Jul 19, 2018",LVA,85,PHO,82
"Fri, Jul 20, 2018",DAL,99,CHI,114
"Fri, Jul 20, 2018",SEA,78,CON,65
"Fri, Jul 20, 2018",IND,78,LAS,76
"Sat, Jul 21, 2018",WAS,95,NYL,78
"Sat, Jul 21, 2018",MIN,80,PHO,75
"Sun, Jul 22, 2018",SEA,74,ATL,87
"Sun, Jul 22, 2018",LAS,93,CHI,76
"Sun, Jul 22, 2018",CON,92,DAL,75
"Sun, Jul 22, 2018",IND,74,LVA,88
"Tue, Jul 24, 2018",WAS,68,CON,94
"Tue, Jul 24, 2018",SEA,92,IND,72
"Tue, Jul 24, 2018",ATL,81,LAS,71
"Tue, Jul 24, 2018",NYL,82,MIN,85
"Wed, Jul 25, 2018",CHI,101,PHO,87
"Tue, Jul 31, 2018",WAS,86,ATL,71
"Tue, Jul 31, 2018",CHI,92,DAL,91
"Tue, Jul 31, 2018",SEA,102,PHO,91
"Wed, Aug 1, 2018",NYL,77,CON,92
"Wed, Aug 1, 2018",PHO,104,LVA,93
"Thu, Aug 2, 2018",DAL,78,IND,84
"Thu, Aug 2, 2018",MIN,57,LAS,79
"Fri, Aug 3, 2018",CHI,74,ATL,89
"Fri, Aug 3, 2018",MIN,75,SEA,85
"Fri, Aug 3, 2018",LVA,0,WAS,1
"Sat, Aug 4, 2018",IND,68,NYL,55
"Sun, Aug 5, 2018",LVA,88,CON,109
"Sun, Aug 5, 2018",WAS,76,DAL,74
"Sun, Aug 5, 2018",PHO,75,LAS,78
"Sun, Aug 5, 2018",ATL,86,MIN,66
"Mon, Aug 6, 2018",SEA,96,NYL,80
"Tue, Aug 7, 2018",LVA,100,ATL,109
"Tue, Aug 7, 2018",MIN,85,CHI,64
"Tue, Aug 7, 2018",SEA,94,IND,79
"Tue, Aug 7, 2018",WAS,103,PHO,98
"Wed, Aug 8, 2018",CON,101,DAL,92
"Wed, Aug 8, 2018",LAS,82,NYL,81
"Thu, Aug 9, 2018",LAS,73,ATL,79
"Thu, Aug 9, 2018",MIN,89,LVA,73
"Thu, Aug 9, 2018",SEA,77,WAS,100
"Fri, Aug 10, 2018",CON,86,CHI,97
"Fri, Aug 10, 2018",IND,74,PHO,94
"Sat, Aug 11, 2018",DAL,82,ATL,92
"Sat, Aug 11, 2018",IND,74,LVA,92
"Sun, Aug 12, 2018",CHI,75,CON,82
"Sun, Aug 12, 2018",SEA,81,MIN,72
"Sun, Aug 12, 2018",ATL,86,NYL,77
"Sun, Aug 12, 2018",LAS,78,PHO,86
"Sun, Aug 12, 2018",DAL,80,WAS,93
"Tue, Aug 14, 2018",DAL,76,CON,96
"Tue, Aug 14, 2018",NYL,66,LAS,74
"Tue, Aug 14, 2018",CHI,91,MIN,88
"Wed, Aug 15, 2018",WAS,76,IND,62
"Wed, Aug 15, 2018",NYL,72,LVA,85
"Fri, Aug 17, 2018",MIN,79,CON,96
"Fri, Aug 17, 2018",LVA,102,DAL,107
"Fri, Aug 17, 2018",ATL,95,PHO,104
"Fri, Aug 17, 2018",NYL,77,SEA,85
"Fri, Aug 17, 2018",LAS,67,WAS,69
"Sat, Aug 18, 2018",CHI,115,IND,106
"Sun, Aug 19, 2018",IND,97,CHI,92
"Sun, Aug 19, 2018",LAS,86,CON,89
"Sun, Aug 19, 2018",ATL,93,LVA,78
"Sun, Aug 19, 2018",WAS,83,MIN,88
"Sun, Aug 19, 2018",NYL,85,PHO,96
"Sun, Aug 19, 2018",DAL,68,SEA,84
"Tue, Aug 21, 2018",MIN,68,LAS,75
"Tue, Aug 21, 2018",DAL,83,PHO,101
"Thu, Aug 23, 2018",PHO,96,CON,86
"Thu, Aug 23, 2018",LAS,64,WAS,96
"Sun, Aug 26, 2018",WAS,87,ATL,84
"Sun, Aug 26, 2018",PHO,87,SEA,91
"Tue, Aug 28, 2018",WAS,75,ATL,78
"Tue, Aug 28, 2018",PHO,87,SEA,91
"Fri, Aug 31, 2018",SEA,66,PHO,86
"Fri, Aug 31, 2018",ATL,81,WAS,76
"Sun, Sep 2, 2018",SEA,84,PHO,86
"Sun, Sep 2, 2018",ATL,76,WAS,97
"Tue, Sep 4, 2018",WAS,86,ATL,81
"Tue, Sep 4, 2018",PHO,84,SEA,94
"Fri, Sep 7, 2018",WAS,76,SEA,89
"Sun, Sep 9, 2018",WAS,73,SEA,75
"Wed, Sep 12, 2018",SEA,98,WAS,82
