Season,Date,away_team,away_team_pts,home_team,home_team_pts
2019,"Fri, May 24, 2019",DAL,72,ATL,76
2019,"Fri, May 24, 2019",IND,81,NYL,80
2019,"Sat, May 25, 2019",WAS,69,CON,84
2019,"Sat, May 25, 2019",CHI,71,MIN,89
2019,"Sat, May 25, 2019",PHO,68,SEA,77
2019,"Sun, May 26, 2019",LAS,70,LVA,83
2019,"Tue, May 28, 2019",IND,77,CON,88
2019,"Wed, May 29, 2019",SEA,61,MIN,72
2019,"Fri, May 31, 2019",SEA,82,ATL,66
2019,"Fri, May 31, 2019",CON,70,LAS,77
2019,"Fri, May 31, 2019",LVA,84,PHO,86
2019,"Sat, Jun 1, 2019",SEA,79,CHI,83
2019,"Sat, Jun 1, 2019",MIN,70,DAL,67
2019,"Sat, Jun 1, 2019",NYL,77,IND,92
2019,"Sat, Jun 1, 2019",ATL,75,WAS,96
2019,"Sun, Jun 2, 2019",CON,80,LVA,74
2019,"Tue, Jun 4, 2019",LAS,78,NYL,73
2019,"Tue, Jun 4, 2019",MIN,77,SEA,84
2019,"Wed, Jun 5, 2019",CHI,85,WAS,103
2019,"Thu, Jun 6, 2019",LVA,92,ATL,69
2019,"Thu, Jun 6, 2019",LAS,77,CON,89
2019,"Thu, Jun 6, 2019",PHO,56,MIN,58
2019,"Fri, Jun 7, 2019",DAL,64,IND,79
2019,"Fri, Jun 7, 2019",WAS,94,NYL,85
2019,"Sat, Jun 8, 2019",LAS,89,MIN,85
2019,"Sun, Jun 9, 2019",CON,65,ATL,59
2019,"Sun, Jun 9, 2019",SEA,71,CHI,78
2019,"Sun, Jun 9, 2019",PHO,94,IND,87
2019,"Sun, Jun 9, 2019",LVA,78,NYL,88
2019,"Sun, Jun 9, 2019",DAL,62,WAS,86
2019,"Tue, Jun 11, 2019",PHO,75,CHI,82
2019,"Tue, Jun 11, 2019",WAS,75,CON,83
2019,"Tue, Jun 11, 2019",SEA,84,IND,82
2019,"Wed, Jun 12, 2019",MIN,69,NYL,75
2019,"Thu, Jun 13, 2019",IND,76,DAL,72
2019,"Fri, Jun 14, 2019",NYL,65,LVA,100
2019,"Fri, Jun 14, 2019",CON,85,MIN,81
2019,"Fri, Jun 14, 2019",LAS,85,PHO,68
2019,"Fri, Jun 14, 2019",SEA,74,WAS,71
2019,"Sat, Jun 15, 2019",ATL,61,DAL,71
