Season,Player,team_name,Position,Games,FG,FG_pct,FT,FT_pct,Total_Pts
2018,Natalie Achonwa,IND,C,34,137,0.527,76,0.8,350
2018,Kayla Alexander,IND,C,30,33,0.541,14,0.8240000000000001,80
2018,Lindsay Allen,LVA,G,24,28,0.384,17,0.708,74
2018,Rebecca Allen,NYL,F,28,38,0.376,21,0.84,107
2018,Ariel Atkins,WAS,G,29,120,0.43200000000000005,42,0.8240000000000001,327
2018,Seimone Augustus,MIN,G,33,156,0.467,24,0.706,357
2018,Rachel Banham,CON,G,33,55,0.414,33,0.868,173
2018,Alana Beard,LAS,G-F,30,51,0.392,17,0.81,121
2018,Hind Ben Abdelkader,IND,G,14,8,0.18600000000000003,7,0.875,29
2018,Alex Bentley,ATL,G,16,56,0.376,9,0.529,139
2018,Alex Bentley,CON,G,19,72,0.396,25,0.833,190
2018,Alex Bentley,TOT,G,35,128,0.387,34,0.723,329
2018,Monique Billings,ATL,F,32,41,0.441,24,0.75,106
2018,Sue Bird,SEA,G,31,115,0.466,24,0.828,314
2018,Kelsey Bone,LVA,C,32,40,0.5,9,0.5,89
2018,DeWanna Bonner,PHO,G-F,34,208,0.452,117,0.867,588
2018,Brittany Boyd,NYL,G,30,70,0.414,41,0.774,191
2018,Imani McGee-Stafford,ATL,C,29,39,0.45299999999999996,7,0.467,85
2018,Jessica Breland,ATL,F,34,124,0.428,33,0.75,281
2018,Lexie Brown,CON,G,22,12,0.273,4,0.5710000000000001,37
2018,Rebekkah Brunson,MIN,F,25,64,0.405,33,0.6729999999999999,179
2018,Liz Cambage,DAL,C,32,278,0.589,169,0.738,737
2018,Jordin Canada,SEA,G,33,65,0.35700000000000004,48,0.738,188
2018,Essence Carson,LAS,F-G,34,101,0.435,15,0.938,256
2018,Tina Charles,NYL,C,33,263,0.473,94,0.77,651
2018,Saniya Chong,DAL,G,5,1,0.16699999999999998,2,0.667,4
2018,Karima Christmas-Kelly,DAL,G-F,6,13,0.44799999999999995,26,0.813,56
2018,Layshia Clarendon,ATL,G,18,26,0.32899999999999996,24,0.8,78
2018,Layshia Clarendon,CON,G,15,31,0.49200000000000005,19,0.826,81
2018,Layshia Clarendon,TOT,G,33,57,0.401,43,0.8109999999999999,159
2018,Alysha Clark,SEA,F,31,83,0.48,33,0.846,228
2018,Natasha Cloud,WAS,G,27,89,0.436,21,0.778,231
2018,Alaina Coates,CHI,C,32,42,0.568,25,0.625,109
2018,Nia Coffey,LVA,F,28,52,0.38,42,0.618,148
2018,Marissa Coleman,NYL,G-F,21,40,0.348,6,1.0,98
2018,Sydney Colson,MIN,G,2,3,0.429,1,0.5,7
2018,Kahleah Copper,CHI,F-G,33,81,0.397,49,0.875,235
2018,Monique Currie,WAS,F,32,68,0.395,59,0.831,212
2018,Damiris Dantas,ATL,F,19,42,0.433,13,0.722,102
2018,Kaela Davis,DAL,G,27,50,0.34700000000000003,25,0.6409999999999999,135
2018,Elena Delle Donne,WAS,G-F,29,220,0.488,110,0.887,599
2018,Diamond DeShields,CHI,G,34,166,0.425,117,0.836,489
2018,Blake Dietrick,ATL,G,26,12,0.34299999999999997,4,0.667,37
2018,Skylar Diggins-Smith,DAL,G,32,186,0.40299999999999997,151,0.8390000000000001,574
2018,Stefanie Dolson,CHI,C,27,107,0.467,30,0.938,262
2018,Candice Dupree,IND,F,32,198,0.488,59,0.8190000000000001,455
2018,Adaora Elonu,ATL,,1,0,,0,,0
2018,Temi Fagbenle,MIN,F,30,39,0.506,16,0.696,94
2018,Jamierra Faulkner,CHI,G,17,46,0.34299999999999997,18,0.75,129
2018,Sylvia Fowles,MIN,C,34,237,0.619,128,0.757,602
2018,Cayla George,DAL,C,23,34,0.436,3,0.5,83
2018,Allisha Gray,DAL,G,34,100,0.40299999999999997,82,0.863,312
2018,Chelsea Gray,LAS,G,34,193,0.484,81,0.835,505
2018,Brittney Griner,PHO,C,34,266,0.544,164,0.8,697
2018,Marie Gulich,PHO,C,23,14,0.483,6,0.75,34
2018,Jazmon Gwathmey,IND,G,10,9,0.231,5,0.5,24
2018,Dearica Hamby,LVA,F,33,92,0.526,46,0.742,243
2018,Linnae Harper,CHI,G,24,19,0.40399999999999997,6,0.6,48
2018,Amber Harris,CHI,F,1,0,,0,,0
2018,Bria Hartley,NYL,G,34,103,0.389,46,0.708,288
2018,Tianna Hawkins,WAS,F,32,81,0.44299999999999995,14,0.8240000000000001,201
2018,Tiffany Hayes,ATL,G,31,177,0.441,138,0.8170000000000001,534
2018,Tayler Hill,DAL,G,7,13,0.289,2,1.0,35
2018,Tayler Hill,TOT,G,20,24,0.28600000000000003,13,0.929,74
2018,Tayler Hill,WAS,G,13,11,0.282,11,0.917,39
2018,Myisha Hines-Allen,WAS,F,24,36,0.45,17,0.654,90
2018,Sequoia Holmes,LVA,G,3,2,0.667,0,0.0,4
2018,Chelsea Hopkins,CHI,G,4,3,0.5,1,1.0,7
2018,Natasha Howard,SEA,F,34,175,0.547,83,0.7979999999999999,450
2018,Briann January,PHO,G,33,77,0.423,29,0.8059999999999999,230
2018,Moriah Jefferson,LVA,G,16,33,0.379,17,0.81,86
2018,Glory Johnson,DAL,F,29,85,0.41700000000000004,46,0.78,233
2018,Alexis Jones,MIN,G,26,32,0.35200000000000004,6,0.75,86
2018,Brionna Jones,CON,C,27,30,0.469,24,0.727,84
2018,Jonquel Jones,CON,F,34,149,0.55,53,0.6709999999999999,401
2018,Lynetta Kizer,MIN,F,14,8,0.242,6,0.6,22
2018,Betnijah Laney,CON,G-F,29,33,0.47100000000000003,10,0.909,77
2018,Crystal Langhorne,SEA,F,26,52,0.5,16,0.889,120
2018,Erlana Larkins,MIN,F,13,12,0.444,3,1.0,27
2018,Jantel Lavender,LAS,C,30,68,0.428,18,0.9,157
2018,Breanna Lewis,DAL,C,6,3,0.3,1,1.0,7
2018,Camille Little,PHO,F,33,33,0.33,24,0.774,98
2018,Raigyne Louis,LVA,,2,2,0.4,2,0.667,6
2018,Jewell Loyd,SEA,G,34,182,0.423,97,0.851,528
2018,Maggie Lucas,ATL,G,7,1,0.091,0,,3
2018,Maggie Lucas,DAL,G,1,0,0.0,0,,0
2018,Maggie Lucas,TOT,G,8,1,0.063,0,,3
2018,Sancho Lyttle,PHO,F,18,61,0.54,21,0.875,143
2018,Stephanie Mavunga,IND,F,25,21,0.47700000000000004,12,0.8,54
2018,Kayla McBride,LVA,G,31,197,0.449,121,0.917,563
2018,Erica McCall,IND,F,34,42,0.385,13,0.684,98
2018,Angel McCoughtry,ATL,F-G,29,170,0.42,117,0.836,478
2018,Kelsey Mitchell,IND,G,34,142,0.34600000000000003,78,0.804,432
2018,Leilani Mitchell,PHO,G,31,46,0.35100000000000003,12,0.857,135
2018,Tiffany Mitchell,IND,G,34,108,0.371,76,0.835,308
2018,Endy Miyem,MIN,F,20,12,0.324,1,1.0,27
2018,Alex Montgomery,CHI,G-F,19,5,0.263,4,1.0,15
2018,Renee Montgomery,ATL,G,34,107,0.389,59,0.8809999999999999,351
2018,Maya Moore,MIN,F,34,223,0.423,100,0.833,612
2018,Kaleena Mosqueda-Lewis,SEA,F,33,61,0.41200000000000003,11,0.917,167
2018,Teana Muldrow,DAL,F,1,0,,0,,0
2018,Teana Muldrow,SEA,F,3,0,0.0,0,,0
2018,Teana Muldrow,TOT,F,4,0,0.0,0,,0
2018,Jaime Nared,LVA,G-F,31,24,0.3,24,0.857,79
2018,Astou Ndour,CHI,C,22,37,0.474,20,0.769,101
2018,Kia Nurse,NYL,G,34,103,0.402,67,0.87,310
2018,Chiney Ogwumike,CON,F,31,176,0.603,94,0.797,447
2018,Nneka Ogwumike,LAS,F,27,169,0.525,71,0.816,418
2018,Courtney Paris,SEA,C,34,32,0.5329999999999999,9,0.529,73
2018,Candace Parker,LAS,F,31,198,0.47100000000000003,118,0.8079999999999999,555
2018,Cheyenne Parker,CHI,F,34,128,0.531,77,0.713,339
2018,JiSu Park,LVA,C,32,38,0.38799999999999996,13,0.619,89
2018,Devereaux Peters,PHO,F,5,4,0.33299999999999996,0,,8
2018,Theresa Plaisance,DAL,F,7,14,0.389,0,0.0,37
2018,Kelsey Plum,LVA,G,31,106,0.467,35,0.875,294
2018,Cappie Pondexter,IND,G,17,70,0.389,22,0.846,173
2018,Cappie Pondexter,LAS,G,13,15,0.349,17,0.895,47
2018,Cappie Pondexter,TOT,G,30,85,0.381,39,0.867,220
2018,Aerial Powers,DAL,F,15,30,0.366,28,0.8240000000000001,93
2018,Aerial Powers,TOT,F,24,48,0.39299999999999996,40,0.87,148
2018,Aerial Powers,WAS,F,9,18,0.45,12,1.0,55
2018,Alexis Prince,ATL,G,2,3,0.6,0,,7
2018,Epiphanny Prince,NYL,G,16,48,0.39299999999999996,21,0.875,135
2018,LaToya Sanders,WAS,F,28,116,0.607,53,0.8690000000000001,285
2018,Allie Quigley,CHI,G,32,183,0.466,54,0.857,493
2018,Noelle Quinn,SEA,G,20,13,0.302,0,,30
2018,Angel Robinson,PHO,F-C,24,19,0.452,17,0.85,55
2018,Danielle Robinson,MIN,G,28,69,0.445,41,0.8540000000000001,182
2018,Sugar Rodgers,NYL,G,31,67,0.36200000000000004,19,0.826,196
2018,Leticia Romero,DAL,G,21,5,0.313,13,0.867,24
2018,Tierra Ruffin-Pratt,WAS,G,33,56,0.341,53,0.855,181
2018,Mercedes Russell,NYL,C,2,1,0.33299999999999996,3,0.75,5
2018,Mercedes Russell,SEA,C,22,15,0.484,5,0.5,35
2018,Mercedes Russell,TOT,C,24,16,0.47100000000000003,8,0.5710000000000001,40
2018,Karlie Samuelson,LAS,G,20,7,0.389,0,,19
2018,Shoni Schimmel,LVA,G,2,0,0.0,0,,0
2018,Odyssey Sims,LAS,G,34,104,0.38799999999999996,57,0.722,280
2018,Azura Stevens,DAL,F,34,111,0.43,52,0.7879999999999999,302
2018,Breanna Stewart,SEA,F,34,270,0.529,141,0.82,742
2018,Kiah Stokes,NYL,C,30,42,0.545,8,0.5329999999999999,92
2018,Shekinna Stricklen,CON,F-G,34,77,0.43,12,0.857,224
2018,Carolyn Swords,LVA,C,26,44,0.557,14,0.875,102
2018,Brittney Sykes,ATL,G,29,97,0.41100000000000003,65,0.6629999999999999,281
2018,Stephanie Talbot,PHO,F-G,31,39,0.46399999999999997,19,0.905,114
2018,Diana Taurasi,PHO,G,33,202,0.446,172,0.925,682
2018,Asia Taylor,IND,G,14,9,0.31,7,0.778,26
2018,Alyssa Thomas,CON,F,24,98,0.46399999999999997,52,0.547,248
2018,Jasmine Thomas,CON,G,34,160,0.39799999999999996,71,0.855,437
2018,Krystal Thomas,WAS,C,24,18,0.429,7,0.636,43
2018,Kayla Thornton,DAL,F,34,114,0.447,43,0.86,314
2018,Kristi Toliver,WAS,G,33,149,0.433,89,0.9179999999999999,459
2018,Morgan Tuck,CON,F,34,80,0.473,19,0.826,201
2018,Yvonne Turner,PHO,G,32,47,0.376,15,0.682,132
2018,Maria Vadeeva,LAS,C,25,39,0.527,9,0.75,91
2018,Courtney Vandersloot,CHI,G,30,136,0.489,57,0.826,374
2018,Kia Vaughn,NYL,C,29,73,0.5329999999999999,18,0.643,164
2018,Victoria Vivians,IND,G,34,105,0.40399999999999997,27,0.9309999999999999,302
2018,Shatori Walker-Kimbrough,WAS,G,19,24,0.429,12,1.0,67
2018,Lindsay Whalen,MIN,G,32,65,0.363,37,0.8809999999999999,182
2018,Erica Wheeler,IND,G,34,99,0.35100000000000003,47,0.797,266
2018,Sami Whitcomb,SEA,G,31,30,0.349,6,1.0,91
2018,Sydney Wiese,LAS,G,11,0,0.0,0,,0
2018,Courtney Williams,CON,G,30,171,0.456,17,0.68,379
2018,Elizabeth Williams,ATL,C-F,33,121,0.5479999999999999,58,0.563,300
2018,Gabby Williams,CHI,G,34,102,0.43200000000000005,36,0.7829999999999999,247
2018,Riquna Williams,LAS,G,33,81,0.40700000000000003,24,0.8,234
2018,A'ja Wilson,LVA,C,33,245,0.462,192,0.774,682
2018,Imani Wright,PHO,,1,0,0.0,0,,0
2018,Tanisha Wright,MIN,G,33,51,0.38299999999999995,20,0.741,141
2018,Tamera Young,LVA,F,33,129,0.408,65,0.7070000000000001,327
2018,Amanda Zahui B.,NYL,C,29,90,0.5,23,0.605,224
2018,Cecilia Zandalasini,MIN,F,29,61,0.409,21,0.84,166
2018,Shavonte Zellous,NYL,G,22,63,0.423,46,0.754,180
