Player,team_name,Position,Games,FG,FG%,FT,FT%,Total_Pts
Natalie Achonwa,IND,C,30,99,0.488,60,0.909,261
Kayla Alexander,CHI,C,3,3,0.75,3,0.75,9
Rebecca Allen,NYL,F,24,65,0.41700000000000004,13,0.813,172
Jillian Alleyne,MIN,,5,2,0.33299999999999996,0,,4
Kristine Anigwe,CON,C-F,17,11,0.314,12,0.706,34
Kristine Anigwe,DAL,C-F,10,11,0.33299999999999996,10,0.667,32
Kristine Anigwe,TOT,C-F,27,22,0.324,22,0.688,66
Ariel Atkins,WAS,G,33,123,0.41600000000000004,43,0.8109999999999999,340
Seimone Augustus,MIN,G,12,20,0.313,3,0.75,45
Rachel Banham,CON,G,29,37,0.322,9,0.6920000000000001,105
Alana Beard,LAS,G-F,16,22,0.449,7,0.778,52
Kenisha Bell,MIN,G,3,0,0.0,0,,0
Alex Bentley,ATL,G,29,99,0.307,30,0.857,260
Tiffany Bias,NYL,G,12,7,0.25,6,0.857,23
Monique Billings,ATL,F,29,56,0.389,47,0.7829999999999999,160
DeWanna Bonner,PHO,G-F,34,190,0.377,153,0.9159999999999999,585
Brittany Boyd,NYL,G,33,71,0.39399999999999996,26,0.765,175
Imani McGee-Stafford,DAL,C,29,51,0.46799999999999997,9,0.643,112
Jessica Breland,ATL,F,33,104,0.37799999999999995,29,0.879,246
Kalani Brown,LAS,C,28,54,0.478,36,0.7829999999999999,144
Lexie Brown,MIN,G,33,84,0.402,30,0.789,250
Kennedy Burke,IND,G,31,45,0.385,31,0.705,135
Liz Cambage,LVA,C,32,196,0.504,116,0.748,510
Jordin Canada,SEA,G,30,112,0.38799999999999996,63,0.768,295
Bridget Carleton,CON,,4,0,0.0,0,,0
Bridget Carleton,MIN,,4,1,0.5,0,,3
Bridget Carleton,TOT,,8,1,0.125,0,,3
Essence Carson,PHO,F-G,23,45,0.35200000000000004,29,0.784,133
Arica Carter,PHO,,6,1,0.2,0,,2
Maite Cazorla,ATL,G,31,29,0.312,21,0.875,92
Tina Charles,NYL,C,33,220,0.389,108,0.812,559
Karima Christmas-Kelly,MIN,G-F,6,5,0.278,3,0.6,16
Layshia Clarendon,CON,G,9,18,0.419,18,0.857,56
Alysha Clark,SEA,F,31,114,0.48100000000000004,18,0.818,297
Natasha Cloud,WAS,G,34,110,0.39399999999999996,41,0.6829999999999999,306
Alaina Coates,ATL,C,9,9,0.643,7,0.5379999999999999,25
Alaina Coates,MIN,C,14,15,0.484,5,0.625,35
Alaina Coates,TOT,C,23,24,0.5329999999999999,12,0.5710000000000001,60
Nia Coffey,ATL,F,28,47,0.33799999999999997,23,0.5479999999999999,139
Napheesa Collier,MIN,F,34,167,0.49,80,0.792,444
Sydney Colson,LVA,G,33,37,0.44,27,0.818,110
Kahleah Copper,CHI,F-G,34,79,0.387,54,0.7709999999999999,227
Sophie Cunningham,PHO,G,32,28,0.354,30,0.882,100
Damiris Dantas,MIN,F,26,89,0.43200000000000005,19,0.731,239
Kaela Davis,DAL,G,33,76,0.32899999999999996,29,0.879,197
Elena Delle Donne,WAS,G-F,31,220,0.515,114,0.9740000000000001,606
Diamond DeShields,CHI,G,34,192,0.39899999999999997,117,0.836,551
Blake Dietrick,SEA,G,17,1,0.1,4,0.667,6
Stefanie Dolson,CHI,C,34,121,0.519,44,0.898,316
Candice Dupree,IND,F,34,174,0.47200000000000003,47,0.8390000000000001,395
Asia Durr,NYL,G,18,71,0.467,18,0.818,175
Temi Fagbenle,MIN,F,18,42,0.519,13,0.722,98
Jamierra Faulkner,CHI,G,13,6,0.33299999999999996,4,0.5,17
Sylvia Fowles,MIN,C,34,197,0.588,70,0.7070000000000001,464
Allisha Gray,DAL,G,34,117,0.457,95,0.848,362
Chelsea Gray,LAS,G,34,188,0.41600000000000004,66,0.917,492
Reshanda Gray,NYL,F,34,71,0.473,35,0.565,178
Brittney Griner,PHO,C,31,270,0.564,101,0.8079999999999999,642
Marie Gulich,ATL,C,31,39,0.361,16,0.727,102
Megan Gustafson,DAL,F,25,27,0.491,18,0.9,73
Dearica Hamby,LVA,F,34,141,0.488,74,0.718,373
Isabelle Harrison,DAL,F,31,110,0.456,48,0.716,268
Bria Hartley,NYL,G,24,79,0.376,53,0.8029999999999999,235
Tianna Hawkins,WAS,F,31,113,0.514,37,0.925,296
Tiffany Hayes,ATL,G,29,147,0.39299999999999996,97,0.764,427
Natisha Hiedeman,CON,G,20,24,0.414,12,0.5,73
Tayler Hill,DAL,G,4,4,0.308,4,0.8,13
Myisha Hines-Allen,WAS,F,27,25,0.36200000000000004,7,0.583,63
Bria Holmes,CON,G,34,77,0.39899999999999997,39,0.672,213
Anriel Howard,SEA,,3,2,0.4,0,,5
Natasha Howard,SEA,F,34,227,0.439,128,0.81,614
Chloe Jackson,CHI,G,8,2,0.222,1,0.16699999999999998,5
Briann January,PHO,G,32,71,0.39,36,0.8370000000000001,209
Marine Johannes,NYL,,19,48,0.436,15,0.789,136
Glory Johnson,DAL,F,28,78,0.364,14,0.583,205
Shenise Johnson,IND,G,17,30,0.33299999999999996,15,0.938,83
Alexis Jones,LAS,G,20,28,0.4,12,0.8,79
Brionna Jones,CON,C,27,35,0.467,24,0.667,94
Jonquel Jones,CON,F,34,173,0.44799999999999995,108,0.818,497
Paris Kea,IND,G,11,11,0.40700000000000003,2,0.5,29
Betnijah Laney,IND,G-F,34,77,0.36200000000000004,18,0.581,192
Crystal Langhorne,SEA,F,34,70,0.409,33,0.75,191
Jantel Lavender,CHI,C,23,103,0.49,19,0.905,231
Camille Little,PHO,F,29,40,0.435,25,0.8059999999999999,112
Jewell Loyd,SEA,G,27,117,0.391,64,0.9279999999999999,332
Sancho Lyttle,PHO,F,20,26,0.419,5,0.625,58
Marina Mabrey,LAS,G,31,45,0.344,14,0.875,125
Victoria Macaulay,CHI,C,5,2,0.4,2,1.0,6
Stephanie Mavunga,IND,F,24,24,0.511,12,0.706,60
Kayla McBride,LVA,G,34,152,0.425,87,0.9059999999999999,453
Erica McCall,IND,F,15,3,0.136,8,1.0,14
Brooke McCarty-Williams,DAL,G,34,26,0.289,11,0.917,81
Angel McCoughtry,ATL,F-G,1,0,,0,,0
Teaira McCowan,IND,C,34,119,0.517,103,0.687,341
Emma Meesseman,WAS,C,23,122,0.552,38,0.905,301
Kim Mestdagh,WAS,G,15,7,0.389,2,1.0,22
Kelsey Mitchell,IND,G,34,167,0.387,51,0.836,464
Leilani Mitchell,PHO,G,32,134,0.441,68,0.8290000000000001,410
Tiffany Mitchell,IND,G,33,109,0.381,83,0.892,321
Renee Montgomery,ATL,G,34,107,0.37,42,0.8240000000000001,324
Kaleena Mosqueda-Lewis,SEA,F,31,65,0.39899999999999997,14,1.0,172
Jaime Nared,LVA,G-F,1,0,,0,,0
Astou Ndour,CHI,C,21,58,0.49200000000000005,13,0.722,143
Kia Nurse,NYL,G,34,142,0.39299999999999996,116,0.872,465
Arike Ogunbowale,DAL,G,33,214,0.38799999999999996,145,0.815,630
Chiney Ogwumike,LAS,F,32,125,0.494,55,0.809,306
Nneka Ogwumike,LAS,F,32,207,0.51,77,0.828,514
Courtney Paris,SEA,C,30,6,0.4,3,0.429,15
Candace Parker,LAS,F,22,89,0.42200000000000004,53,0.7909999999999999,247
Cheyenne Parker,CHI,F,34,107,0.45899999999999996,80,0.8420000000000001,299
JiSu Park,LVA,C,25,8,0.21600000000000003,4,0.444,20
Shey Peddy,WAS,G,15,8,0.615,6,1.0,26
Haley Peters,ATL,F,4,0,0.0,2,1.0,2
Theresa Plaisance,CON,F,9,8,0.348,4,1.0,22
Theresa Plaisance,DAL,F,22,46,0.374,17,0.773,132
Theresa Plaisance,TOT,F,31,54,0.37,21,0.8079999999999999,154
Kelsey Plum,LVA,G,34,107,0.365,34,0.872,293
Aerial Powers,WAS,F,30,108,0.434,85,0.867,343
Epiphanny Prince,LVA,G,3,5,0.5,0,,13
LaToya Sanders,WAS,F,34,87,0.506,33,0.892,207
Allie Quigley,CHI,G,34,171,0.493,47,0.87,469
Nayo Raincock-Ekunwe,NYL,F,28,43,0.544,16,0.64,103
Danielle Robinson,MIN,G,34,138,0.43700000000000006,58,0.879,343
Sugar Rodgers,LVA,G,33,40,0.36,3,0.6,113
Tierra Ruffin-Pratt,LAS,G,34,72,0.36700000000000005,35,0.8540000000000001,204
Mercedes Russell,SEA,C,34,106,0.52,42,0.6459999999999999,254
Karlie Samuelson,DAL,G,4,2,0.28600000000000003,0,,6
Karlie Samuelson,LAS,G,3,1,0.14300000000000002,0,,3
Karlie Samuelson,TOT,G,7,3,0.214,0,,9
Katie Lou Samuelson,CHI,G,20,12,0.316,16,0.8,48
Jessica Shepard,MIN,F,6,11,0.379,6,0.75,29
Odyssey Sims,MIN,G,34,189,0.415,89,0.795,492
Alanna Smith,PHO,F,18,8,0.195,1,0.5,19
Azura Stevens,DAL,F,9,19,0.358,4,0.8,43
Shekinna Stricklen,CON,F-G,34,104,0.408,22,0.815,306
Carolyn Swords,LVA,C,29,32,0.43799999999999994,11,0.846,75
Brittney Sykes,ATL,G,34,128,0.365,64,0.703,348
Stephanie Talbot,MIN,F-G,33,57,0.37,27,0.871,172
Diana Taurasi,PHO,G,6,4,0.10300000000000001,17,0.9440000000000001,26
Asia Taylor,MIN,G,8,10,0.455,5,0.833,25
Asia Taylor,PHO,G,4,0,0.0,1,0.5,1
Asia Taylor,TOT,G,12,10,0.35700000000000004,6,0.75,26
Alyssa Thomas,CON,F,34,168,0.505,60,0.496,396
Jasmine Thomas,CON,G,34,139,0.392,56,0.8,379
Kayla Thornton,DAL,F,27,99,0.34299999999999997,54,0.9309999999999999,280
Shao Ting,MIN,F,5,2,0.2,2,0.667,6
Kristi Toliver,WAS,G,23,116,0.494,30,0.857,298
Morgan Tuck,CON,F,33,45,0.38799999999999996,18,0.6,123
Brianna Turner,PHO,F,29,49,0.5379999999999999,19,0.731,117
Yvonne Turner,PHO,G,29,59,0.34299999999999997,43,0.878,187
Maria Vadeeva,LAS,C,15,51,0.49,10,0.769,117
Courtney Vandersloot,CHI,G,33,135,0.452,68,0.85,369
Ashley Walker,LAS,F-C,3,1,0.091,0,,2
Shatori Walker-Kimbrough,WAS,G,34,76,0.43200000000000005,53,0.93,227
Avery Warley-Talbert,NYL,C,3,1,0.2,1,0.5,3
Erica Wheeler,IND,G,34,127,0.426,41,0.872,343
Sami Whitcomb,SEA,G,33,82,0.366,11,1.0,238
Sydney Wiese,LAS,G,32,55,0.385,9,1.0,153
Courtney Williams,CON,G,34,187,0.435,60,0.8,450
Elizabeth Williams,ATL,C-F,32,107,0.455,82,0.732,296
Gabby Williams,CHI,G,33,75,0.414,29,0.725,186
Riquna Williams,LAS,G,23,93,0.384,44,0.88,284
A'ja Wilson,LVA,C,26,158,0.479,114,0.792,430
Tanisha Wright,NYL,G,31,54,0.415,25,0.8059999999999999,147
Han Xu,NYL,C,18,24,0.414,1,0.5,54
Jackie Young,LVA,G,34,76,0.322,59,0.8079999999999999,225
Tamera Young,LVA,F,34,68,0.38,39,0.639,180
Amanda Zahui B.,NYL,C,24,81,0.46799999999999997,23,0.852,207
Shavonte Zellous,SEA,G,31,44,0.379,30,0.75,124
